               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11368,            0.035023,            0.033265,            0.029137,            0.081719,            0.014553,           0.0023161,             0.09271,            0.030086,            0.021286,          0.00032704,          0.00032704,            0.067623
                   1,            0.089044,            0.037706,            0.019701,             0.70962,             0.11552,            0.033577,            0.005892,            0.075979,            0.027939,            0.015154,          0.00065384,          0.00065384,            0.034616
                   2,            0.080587,            0.031879,            0.017134,             0.81674,             0.12433,             0.11733,            0.033491,            0.073918,            0.023217,             0.01425,          0.00097404,          0.00097404,            0.001603
                   3,            0.072393,            0.027481,            0.016012,             0.80398,              0.1488,             0.12795,            0.037978,            0.062963,            0.019655,            0.013568,           0.0009703,           0.0009703,           0.0009703
                   4,            0.064717,             0.02505,            0.015691,             0.78504,             0.15027,             0.12228,            0.028518,             0.06548,            0.017729,            0.012929,           0.0009703,           0.0009703,           0.0009703
                   5,            0.061028,            0.024299,            0.014396,             0.84736,             0.18747,              0.2002,            0.063254,            0.058629,            0.017191,            0.012093,           0.0009604,           0.0009604,           0.0009604
                   6,            0.060226,            0.023512,            0.014203,             0.53263,             0.30815,             0.22785,             0.06703,            0.055304,            0.017085,            0.011655,           0.0009505,           0.0009505,           0.0009505
                   7,            0.057684,            0.023806,            0.013013,             0.61818,             0.30537,             0.25174,             0.07948,            0.057894,            0.016217,            0.010774,           0.0009406,           0.0009406,           0.0009406
                   8,            0.056898,            0.022469,            0.011772,             0.75387,             0.26537,             0.26574,             0.10829,              0.0533,            0.017173,            0.010491,           0.0009307,           0.0009307,           0.0009307
                   9,            0.055476,            0.022321,             0.01056,             0.75948,             0.27863,             0.31775,             0.12139,            0.054672,            0.016371,           0.0085447,           0.0009208,           0.0009208,           0.0009208
                  10,             0.05329,            0.021156,           0.0098859,             0.70147,             0.37317,             0.38015,              0.1584,            0.050193,            0.015708,           0.0072514,           0.0009109,           0.0009109,           0.0009109
                  11,            0.054031,            0.022074,           0.0091786,              0.7617,             0.35461,             0.38098,             0.12186,            0.054849,            0.015451,           0.0066121,            0.000901,            0.000901,            0.000901
                  12,             0.05468,            0.021099,           0.0079289,              0.6865,             0.43738,             0.38405,             0.16494,              0.0489,            0.015801,           0.0061212,           0.0008911,           0.0008911,           0.0008911
                  13,             0.05201,            0.020605,           0.0070095,              0.7079,             0.40491,             0.40721,             0.17964,            0.048808,            0.015776,           0.0058034,           0.0008812,           0.0008812,           0.0008812
                  14,            0.050739,            0.020169,           0.0061937,             0.74419,             0.38131,             0.40494,             0.16219,            0.050426,            0.015339,           0.0050344,           0.0008713,           0.0008713,           0.0008713
                  15,            0.051672,            0.020598,           0.0061225,             0.82843,             0.41594,             0.46603,             0.19843,             0.04697,            0.015161,           0.0047977,           0.0008614,           0.0008614,           0.0008614
                  16,            0.050416,            0.020633,           0.0057577,             0.77088,             0.46591,              0.5169,             0.22145,            0.047125,            0.014961,           0.0042432,           0.0008515,           0.0008515,           0.0008515
                  17,            0.050391,            0.019701,           0.0054601,             0.79148,             0.45065,             0.52671,             0.23207,             0.04656,            0.014878,           0.0045578,           0.0008416,           0.0008416,           0.0008416
                  18,            0.046919,            0.020466,            0.005138,             0.77902,             0.43885,             0.50913,             0.21237,            0.050117,            0.014519,           0.0041375,           0.0008317,           0.0008317,           0.0008317
                  19,            0.048156,            0.020441,           0.0042076,             0.80451,             0.41691,             0.50733,             0.22299,            0.048999,            0.015038,           0.0042635,           0.0008218,           0.0008218,           0.0008218
                  20,            0.047866,            0.019829,           0.0047739,             0.82364,             0.44698,               0.545,             0.25693,            0.044333,            0.014414,           0.0044729,           0.0008119,           0.0008119,           0.0008119
                  21,            0.047779,            0.019085,           0.0041343,             0.80087,               0.457,             0.54701,             0.24592,            0.046705,            0.014545,           0.0037283,            0.000802,            0.000802,            0.000802
                  22,            0.046909,            0.019976,           0.0042326,             0.80153,             0.46844,             0.59247,             0.25808,            0.046212,            0.014276,           0.0035264,           0.0007921,           0.0007921,           0.0007921
                  23,            0.047169,             0.01904,           0.0042026,              0.8225,             0.46633,             0.60945,             0.29034,            0.045296,            0.014345,            0.003302,           0.0007822,           0.0007822,           0.0007822
                  24,            0.046858,            0.019755,           0.0041872,             0.62746,             0.60085,             0.56985,             0.26763,            0.046063,             0.01441,           0.0033527,           0.0007723,           0.0007723,           0.0007723
                  25,            0.045303,             0.01855,           0.0036418,             0.70432,              0.5918,             0.64306,             0.30795,            0.043164,            0.014331,           0.0032706,           0.0007624,           0.0007624,           0.0007624
                  26,            0.045779,            0.019595,           0.0043146,             0.71475,             0.58741,             0.66154,             0.31693,             0.04351,            0.014377,           0.0033186,           0.0007525,           0.0007525,           0.0007525
                  27,            0.044763,            0.019215,           0.0040549,             0.64664,             0.69288,             0.67303,             0.29933,             0.04281,            0.014131,           0.0032103,           0.0007426,           0.0007426,           0.0007426
                  28,            0.045136,            0.020047,           0.0034441,             0.68976,             0.62952,             0.68551,             0.31934,            0.042289,            0.014096,             0.00289,           0.0007327,           0.0007327,           0.0007327
                  29,            0.043848,            0.018428,           0.0035767,             0.72073,             0.62199,             0.70581,             0.35504,            0.041886,            0.013884,           0.0028814,           0.0007228,           0.0007228,           0.0007228
                  30,            0.044615,            0.018292,           0.0028995,             0.73819,             0.64377,             0.70647,             0.35082,             0.04271,            0.013896,           0.0026587,           0.0007129,           0.0007129,           0.0007129
                  31,            0.044404,            0.019175,           0.0032756,             0.67925,             0.70112,             0.73736,             0.35957,            0.043718,            0.013927,           0.0030717,            0.000703,            0.000703,            0.000703
                  32,            0.043902,            0.018511,           0.0033238,             0.79725,             0.62565,             0.73734,             0.38026,            0.041847,            0.013624,           0.0026939,           0.0006931,           0.0006931,           0.0006931
                  33,            0.043007,            0.018708,           0.0033257,             0.84994,             0.60034,             0.75187,             0.37626,            0.042509,            0.013586,           0.0025638,           0.0006832,           0.0006832,           0.0006832
                  34,             0.04284,            0.017834,           0.0029382,             0.82787,             0.64045,             0.74457,             0.38139,            0.040899,            0.013488,           0.0026211,           0.0006733,           0.0006733,           0.0006733
                  35,            0.041799,            0.018462,           0.0028627,             0.80953,             0.66711,             0.75645,             0.38332,            0.040463,            0.013556,           0.0024468,           0.0006634,           0.0006634,           0.0006634
                  36,            0.043322,            0.019255,           0.0028233,             0.87642,             0.60948,             0.76266,             0.39253,            0.040849,             0.01358,            0.002605,           0.0006535,           0.0006535,           0.0006535
                  37,            0.042996,            0.018661,           0.0026682,             0.89429,             0.61997,             0.76306,             0.38634,             0.04212,            0.013553,           0.0022445,           0.0006436,           0.0006436,           0.0006436
                  38,            0.041699,            0.017582,           0.0028493,             0.84874,             0.63417,             0.76819,             0.36882,            0.041013,              0.0135,            0.002399,           0.0006337,           0.0006337,           0.0006337
                  39,            0.041212,            0.018387,           0.0029994,             0.86756,             0.62583,             0.76493,             0.37871,            0.041167,            0.013307,           0.0026794,           0.0006238,           0.0006238,           0.0006238
                  40,            0.041449,            0.018161,           0.0027836,             0.90146,             0.62523,             0.78899,             0.38796,            0.039708,            0.013382,           0.0021392,           0.0006139,           0.0006139,           0.0006139
                  41,            0.040769,            0.018643,           0.0023092,             0.80878,             0.72696,             0.78576,             0.40292,            0.039957,            0.013417,           0.0023369,            0.000604,            0.000604,            0.000604
                  42,            0.040799,            0.017313,           0.0024485,             0.72344,             0.78359,             0.79459,              0.3878,            0.040246,            0.013292,           0.0021192,           0.0005941,           0.0005941,           0.0005941
                  43,             0.04175,             0.01864,            0.002658,              0.7265,             0.77384,             0.75912,             0.34183,            0.042968,            0.013507,           0.0021741,           0.0005842,           0.0005842,           0.0005842
                  44,            0.041833,            0.018693,           0.0028929,             0.71787,             0.79227,             0.79115,             0.38005,            0.040455,            0.013418,           0.0020224,           0.0005743,           0.0005743,           0.0005743
                  45,             0.03921,            0.017593,           0.0022399,             0.74177,             0.74171,             0.80236,             0.40739,            0.039011,            0.013161,           0.0019337,           0.0005644,           0.0005644,           0.0005644
                  46,            0.039809,            0.018381,           0.0022267,             0.75801,             0.75052,             0.79142,             0.41062,            0.039324,            0.013272,           0.0019694,           0.0005545,           0.0005545,           0.0005545
                  47,             0.03992,            0.017482,           0.0021399,             0.75978,             0.77285,             0.80263,             0.38917,            0.039545,            0.013229,           0.0018786,           0.0005446,           0.0005446,           0.0005446
                  48,            0.039792,            0.017151,           0.0021225,             0.74784,             0.75673,             0.79552,             0.40366,            0.039422,            0.013096,           0.0017734,           0.0005347,           0.0005347,           0.0005347
                  49,             0.03949,            0.018114,           0.0022746,              0.8497,             0.72332,             0.81615,             0.40887,            0.039215,            0.013074,           0.0018364,           0.0005248,           0.0005248,           0.0005248
                  50,            0.040059,            0.018161,           0.0023686,             0.87761,             0.70514,             0.82842,             0.39975,            0.039425,            0.013121,           0.0018833,           0.0005149,           0.0005149,           0.0005149
                  51,             0.03943,            0.017618,           0.0021825,             0.90501,              0.6544,             0.82966,             0.40707,            0.038981,            0.013125,           0.0018943,            0.000505,            0.000505,            0.000505
                  52,            0.040055,            0.017988,           0.0022681,             0.79696,             0.75898,             0.83212,              0.4259,            0.038737,            0.012846,           0.0017499,           0.0004951,           0.0004951,           0.0004951
                  53,             0.03969,            0.017659,           0.0021117,              0.8921,             0.69308,             0.81036,             0.38848,            0.039643,            0.013105,           0.0020164,           0.0004852,           0.0004852,           0.0004852
                  54,             0.03806,            0.018028,           0.0021314,             0.86826,             0.71006,              0.8114,             0.40744,              0.0385,            0.012806,            0.001798,           0.0004753,           0.0004753,           0.0004753
                  55,             0.03829,            0.016802,           0.0016663,             0.87273,             0.71266,             0.80617,             0.39758,            0.039763,            0.013014,           0.0018531,           0.0004654,           0.0004654,           0.0004654
                  56,            0.037826,            0.016994,           0.0017616,             0.86537,             0.71998,             0.79812,              0.4143,            0.038102,            0.012899,           0.0016895,           0.0004555,           0.0004555,           0.0004555
                  57,            0.038246,            0.017703,           0.0019928,             0.76207,             0.73572,             0.82102,             0.40586,            0.038342,              0.0129,           0.0015977,           0.0004456,           0.0004456,           0.0004456
                  58,            0.038334,            0.017648,           0.0019788,             0.88568,             0.72215,             0.80839,             0.43559,            0.037861,            0.012783,           0.0016932,           0.0004357,           0.0004357,           0.0004357
                  59,            0.038438,             0.01732,           0.0019928,             0.82547,             0.69834,             0.81155,             0.42076,            0.037574,            0.012831,           0.0016586,           0.0004258,           0.0004258,           0.0004258
                  60,            0.037214,            0.017116,           0.0018458,             0.83697,             0.71705,             0.79889,             0.42231,            0.037229,            0.012684,           0.0016094,           0.0004159,           0.0004159,           0.0004159
                  61,            0.037576,            0.017381,           0.0019003,             0.88164,             0.71969,             0.80519,             0.40354,              0.0384,             0.01309,           0.0016514,            0.000406,            0.000406,            0.000406
                  62,            0.037673,            0.016949,           0.0018116,             0.75632,             0.72288,             0.80552,             0.40284,             0.03761,             0.01276,           0.0014592,           0.0003961,           0.0003961,           0.0003961
                  63,            0.038061,            0.017471,           0.0018218,             0.79969,             0.71142,             0.82152,             0.43118,               0.038,            0.012806,           0.0015591,           0.0003862,           0.0003862,           0.0003862
                  64,            0.036718,            0.016567,           0.0020326,             0.81071,             0.71119,             0.81744,             0.42597,            0.037807,            0.012612,           0.0014297,           0.0003763,           0.0003763,           0.0003763
                  65,            0.037058,            0.016796,           0.0019388,             0.84249,             0.74435,              0.8406,              0.4352,            0.038015,            0.012687,           0.0014829,           0.0003664,           0.0003664,           0.0003664
                  66,            0.037507,            0.016828,           0.0017926,             0.79743,             0.72732,             0.80666,             0.41389,            0.037714,            0.012744,           0.0013298,           0.0003565,           0.0003565,           0.0003565
                  67,            0.037482,            0.017427,           0.0015733,              0.8819,             0.71539,             0.84055,             0.42913,            0.037275,            0.012735,            0.001341,           0.0003466,           0.0003466,           0.0003466
                  68,            0.036635,             0.01635,           0.0014362,             0.73327,             0.79356,             0.82057,             0.40913,            0.037927,            0.012825,           0.0016109,           0.0003367,           0.0003367,           0.0003367
                  69,            0.037136,            0.016026,            0.001632,             0.76868,             0.79151,             0.81585,             0.41988,            0.037864,            0.012904,           0.0015769,           0.0003268,           0.0003268,           0.0003268
