               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10178,            0.035532,            0.025377,             0.77412,             0.12139,            0.092559,            0.017593,            0.085206,            0.025688,            0.014714,           0.0032704,           0.0032704,            0.070566
                   1,            0.085414,             0.02535,            0.016492,             0.74985,              0.1302,            0.073522,            0.014981,             0.07553,            0.017981,            0.014466,           0.0065509,           0.0065509,            0.040513
                   2,             0.08118,            0.023714,            0.015356,             0.49814,             0.15713,            0.049962,           0.0079477,            0.077772,            0.022015,            0.011696,           0.0097781,           0.0097781,            0.010407
                   3,              0.0761,            0.022385,             0.01254,             0.47411,             0.20734,             0.10295,             0.02321,            0.076503,            0.018699,            0.013934,             0.00976,             0.00976,             0.00976
                   4,            0.068461,            0.021313,            0.010902,             0.52987,              0.3222,             0.22317,            0.067369,            0.063636,            0.017933,            0.010866,             0.00976,             0.00976,             0.00976
                   5,            0.062575,            0.021448,           0.0088764,             0.56957,             0.38968,             0.41544,             0.10358,             0.06253,            0.017308,            0.013402,             0.00968,             0.00968,             0.00968
                   6,            0.060311,            0.021282,           0.0080993,             0.59587,             0.51198,             0.45201,             0.14946,            0.059592,            0.015118,           0.0051617,              0.0096,              0.0096,              0.0096
                   7,             0.05925,            0.021528,           0.0065231,             0.44064,             0.58424,             0.48092,             0.15011,            0.058331,            0.015725,           0.0062564,             0.00952,             0.00952,             0.00952
                   8,            0.056504,            0.020626,           0.0057422,             0.51234,             0.41647,             0.40174,              0.1432,            0.060959,            0.018285,           0.0088339,             0.00944,             0.00944,             0.00944
                   9,            0.054214,            0.020267,           0.0051621,             0.34112,             0.67094,             0.44964,             0.16156,            0.057919,            0.015454,           0.0043925,             0.00936,             0.00936,             0.00936
                  10,            0.052859,            0.019366,           0.0053857,             0.79396,             0.50103,             0.59469,             0.24875,            0.049119,            0.015921,           0.0045893,             0.00928,             0.00928,             0.00928
                  11,            0.052315,            0.020261,           0.0045376,              0.6351,              0.5842,             0.59323,             0.19168,            0.053337,            0.014926,            0.004136,              0.0092,              0.0092,              0.0092
                  12,            0.050071,            0.019279,           0.0039473,             0.73103,             0.65118,             0.68529,             0.32462,            0.045674,            0.014416,           0.0033243,             0.00912,             0.00912,             0.00912
                  13,            0.050085,            0.018803,           0.0039498,             0.77262,              0.5428,             0.60541,             0.23826,            0.050183,            0.015854,             0.00506,             0.00904,             0.00904,             0.00904
                  14,            0.049912,             0.01871,           0.0038806,             0.73152,             0.61385,             0.67079,             0.28196,            0.045874,            0.014964,           0.0032592,             0.00896,             0.00896,             0.00896
                  15,            0.048594,            0.019097,           0.0036048,             0.69212,             0.58366,              0.6487,             0.26966,            0.045533,            0.014834,           0.0032219,             0.00888,             0.00888,             0.00888
                  16,            0.047566,            0.018923,           0.0032828,             0.68475,             0.61146,             0.66326,             0.28486,            0.044724,            0.014361,           0.0029234,              0.0088,              0.0088,              0.0088
                  17,            0.048316,            0.018048,             0.00311,             0.81892,             0.66095,             0.77836,             0.32088,            0.044958,            0.014103,            0.002908,             0.00872,             0.00872,             0.00872
                  18,            0.045882,             0.01859,           0.0030771,             0.73638,             0.67449,             0.69871,             0.28479,            0.048583,            0.013906,           0.0032281,             0.00864,             0.00864,             0.00864
                  19,            0.047602,            0.018749,           0.0027602,             0.82445,             0.57958,             0.71101,             0.30736,            0.046197,            0.013886,           0.0024489,             0.00856,             0.00856,             0.00856
