               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040436,            0.017252,           0.0019425,             0.83619,             0.80927,             0.85214,             0.43728,            0.037279,            0.013015,           0.0016296,            0.006535,            0.006535,            0.006535
                  37,            0.038625,            0.016581,           0.0018212,             0.70339,             0.70934,             0.76226,             0.36879,            0.039845,            0.012798,           0.0018933,            0.006436,            0.006436,            0.006436
                  38,               0.037,            0.015346,           0.0015231,             0.80434,             0.81864,              0.8564,             0.43044,            0.038709,            0.012797,            0.001401,            0.006337,            0.006337,            0.006337
                  39,            0.039066,            0.016221,           0.0017115,             0.82558,             0.84214,             0.86449,             0.42534,            0.038504,            0.013073,           0.0014643,            0.006238,            0.006238,            0.006238
                  40,            0.037496,            0.015837,           0.0016153,             0.86499,             0.80445,             0.87832,             0.43192,            0.037068,            0.012912,            0.001191,            0.006139,            0.006139,            0.006139
                  41,            0.037086,             0.01636,           0.0015564,              0.7416,              0.9221,             0.88699,             0.46243,            0.038361,            0.012486,           0.0013188,             0.00604,             0.00604,             0.00604
                  42,            0.036857,            0.015246,           0.0014923,             0.74228,             0.80152,             0.83561,             0.41126,             0.03613,            0.012559,           0.0013324,            0.005941,            0.005941,            0.005941
                  43,            0.036596,            0.016267,           0.0015648,             0.89522,             0.86243,             0.91217,             0.49293,             0.03689,            0.012513,           0.0012735,            0.005842,            0.005842,            0.005842
                  44,            0.038406,            0.016322,           0.0016071,             0.78321,             0.87899,             0.87891,             0.46122,            0.036086,            0.012501,           0.0013463,            0.005743,            0.005743,            0.005743
                  45,            0.034534,            0.015303,           0.0014285,             0.87044,             0.83989,             0.90149,             0.51119,            0.035459,            0.012321,           0.0014561,            0.005644,            0.005644,            0.005644
                  46,            0.034932,            0.015804,           0.0014462,             0.86268,             0.86253,             0.89764,             0.46551,            0.036401,            0.012666,           0.0012311,            0.005545,            0.005545,            0.005545
                  47,            0.034477,            0.015011,           0.0012879,               0.814,             0.86236,             0.89233,             0.50817,            0.036366,            0.012606,           0.0013216,            0.005446,            0.005446,            0.005446
                  48,            0.036269,            0.014882,           0.0012738,             0.84291,             0.78036,             0.88081,             0.50264,            0.036728,            0.012503,           0.0012788,            0.005347,            0.005347,            0.005347
                  49,            0.035208,             0.01561,           0.0014651,             0.86174,             0.77985,             0.88005,             0.49086,            0.034739,            0.012299,           0.0011618,            0.005248,            0.005248,            0.005248
